%******************************************
%||======================================||

@relation Aulas_IHC2018 


@attribute Questao_1{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_2{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_3{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_4{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_5{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_6{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_7{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_8{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_9{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_10{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_11{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_12{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_13{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_14{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_15{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_16{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_17{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_18{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_19{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_20{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_21{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_22{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_23{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_24{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_25{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_26{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_27{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_28{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_29{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_30{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_31{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_32{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_33{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_34{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_35{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_36{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_37{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_38{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_39{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_40{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_41{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_42{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_43{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_44{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_45{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_46{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_47{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_48{'A', 'B', 'C', 'D', '#'} 
@attribute situacao{'aprovado', 'reprovado'} 

@data
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'A', '#', 'C', 'A', 'D', '#', 'C', 'D', 'D', 'A', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'reprovado''
'D', 'C', 'B', 'A', 'D', 'A', 'A', 'B', 'D', 'A', 'A', 'A', 'C', 'C', 'B', '#', '#', '#', '#', '#', '#', '#', 'B', 'A', 'B', 'B', 'C', 'B', 'A', 'C', 'D', 'A', 'C', 'C', 'D', 'D', 'A', 'A', 'C', 'C', 'D', 'C', 'A', 'C', 'A', 'B', 'B', 'A', 'aprovado'
'A', 'A', '#', 'A', 'C', 'B', '#', 'C', 'B', 'A', 'A', 'A', 'B', 'C', 'D', '#', 'C', '#', 'C', '#', 'D', 'D', 'B', 'D', 'C', 'B', 'D', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'reprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'B', 'A', 'D', 'B', 'C', 'C', 'D', 'A', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'aprovado'
'B', 'C', 'D', 'C', 'C', 'A', 'A', 'B', 'B', 'C', 'A', 'A', 'D', 'C', 'B', 'D', 'C', 'A', 'D', 'A', 'D', 'C', 'B', 'D', 'C', 'A', 'D', 'D', 'C', 'D', 'D', 'A', 'A', 'D', 'B', 'A', 'A', 'C', 'C', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'aprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'A', 'A', 'D', 'C', 'B', 'D', 'A', 'C', 'C', 'D', 'D', 'A', '#', '#', '#', '#', '#', 'B', 'C', 'D', 'D', 'A', 'A', 'D', 'B', 'B', 'C', 'A', 'C', 'B', 'D', 'C', 'C', 'C', 'A', 'B', 'D', 'C', 'aprovado'
'B', 'C', 'A', 'C', 'D', '#', 'A', 'B', 'B', 'A', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'B', 'D', 'A', 'C', 'B', 'A', 'A', 'B', 'C', 'aprovado'
'D', 'C', 'C', '#', '#', '#', '#', 'B', 'B', 'A', 'A', 'A', 'C', 'A', 'B', '#', '#', '#', '#', '#', '#', '#', 'A', '#', '#', 'A', 'D', '#', '#', '#', '#', '#', 'A', 'C', 'B', 'C', 'A', 'A', 'A', 'B', '#', 'C', 'C', 'C', 'D', 'A', 'B', 'C', 'aprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'A', 'A', 'D', 'C', '#', '#', '#', '#', '#', '#', '#', '#', 'B', 'A', 'C', 'B', 'D', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'aprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'A', 'D', 'C', 'C', 'D', 'A', 'C', 'C', 'B', 'C', 'D', 'A', 'B', 'D', 'C', 'A', 'D', '#', '#', '#', '#', '#', 'A', 'C', 'B', 'D', 'A', 'C', 'C', 'A', 'D', 'A', 'D', 'A', 'D', 'C', 'D', 'C', 'aprovado'
'A', 'C', 'B', 'A', 'A', '#', 'A', 'C', 'B', 'C', 'A', 'A', 'C', 'C', 'B', 'C', 'C', 'C', 'B', 'C', 'D', 'A', 'B', 'A', 'C', 'B', 'D', 'B', 'A', 'C', 'D', 'A', 'A', 'C', 'B', 'A', 'A', 'A', 'C', 'B', 'A', 'C', 'C', 'C', 'A', 'A', 'B', 'C', 'aprovado'
'A', '#', 'C', 'C', 'A', 'A', 'A', 'B', 'B', 'A', 'C', 'A', 'C', 'C', 'C', '#', '#', '#', '#', '#', '#', '#', 'A', 'D', 'C', 'D', 'D', 'B', 'A', 'C', 'D', 'A', 'A', 'D', 'A', 'C', 'B', 'A', 'B', 'C', 'D', 'C', 'A', 'C', 'A', '#', 'B', 'C', 'aprovado'
'B', 'C', '#', '#', '#', 'A', '#', 'B', 'B', '#', '#', '#', 'C', 'C', '#', '#', 'A', 'A', 'A', 'B', 'D', 'A', 'A', 'D', 'D', 'D', 'D', '#', 'D', 'C', 'D', 'A', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'C', 'C', 'C', 'B', 'C', 'D', 'C', 'aprovado'
'C', '#', 'D', 'A', 'D', 'B', 'A', 'B', 'B', 'A', 'B', 'A', 'C', 'C', 'C', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'C', 'A', 'C', 'D', 'A', '#', '#', '#', '#', '#', '#', '#', 'C', 'D', 'A', 'A', 'C', 'B', 'C', 'B', 'C', 'aprovado'
'#', 'C', 'C', 'A', 'D', 'A', '#', 'B', 'A', 'B', 'A', 'C', 'C', 'A', 'C', 'C', 'B', 'B', 'C', 'C', 'D', 'D', 'A', 'D', 'A', 'B', 'D', 'A', 'A', 'C', 'D', 'A', '#', '#', '#', '#', '#', '#', '#', 'B', 'A', 'C', 'D', 'C', 'C', 'C', 'D', 'C', 'aprovado'
'#', 'C', 'A', 'A', 'C', 'A', 'D', 'B', 'D', 'B', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'reprovado'
